,getHRP,getHRP2,getIVP,risk_parity,GMVPortfolio,GMVLOPortfolio,max_div_port,ewPortfolio
0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999974,-0.9999999999999989,-1.0,-1.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,-0.9999999999999991,-1.000000000001647,-1.000000000000022,-1.0000000000006117,-0.999999999999835,-0.9999999999991492,-0.9999999999998643,-1.0000000000000009
3,-0.9999999998219847,-0.9999995745162933,-1.0000000001674805,-1.0000000326901195,-1.0000001580947824,-1.0000000096410018,-1.0000000062258776,-1.000000002394342
4,-1.0000000000000004,-1.0000000000009552,-1.0000000000000075,-0.9999999999965019,-0.9999999999900159,-1.0000000000018676,-1.000000000005572,-0.99999999999996
5,-1.0000000009596304,-1.0000001444181421,-0.9999999983010736,-0.9999999404683241,-1.000000105973072,-1.000000335516035,-1.000000402028074,-0.9999999893871995
6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,-1.0,-1.0000000000000104,-1.0,-1.0,-1.0000000000000047,-1.0000000000000169,-1.0000000000000022,-1.0
8,-0.9999999999981903,-0.9999999999931009,-0.9999999999996695,-0.9999999999959265,-0.9999999999996066,-1.0000000000008713,-1.0000000000003813,-0.9999999999997226
9,-1.0,-0.9999999999999972,-1.0,-1.0,-0.9999999999999992,-0.9999999999999993,-1.0,-1.0
10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,-1.0000000003417013,-1.0000000130024715,-1.0000000003139395,-1.0000000001328566,-0.9999999416290332,-0.999999854335834,-0.9999999990905949,-1.0000000000882012
12,-0.9999999999999792,-0.9999999999999916,-0.9999999999999637,-1.000000000000072,-0.9999999999999625,-0.99999999999999,-0.999999999999992,-0.9999999999998928
13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,-0.9999999961132464,-0.9999999995199007,-1.00000000000187,-1.0000000000482068,-0.9999997702963366,-0.9999998094270726,-0.9999999671808543,-0.9999999999756299
15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,-0.999999999934922,-1.0000000000432137,-1.0000000000000449,-1.0000000000001867,-0.9999999999930501,-0.9999999999807949,-0.9999999999476816,-0.9999999999982697
17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,-1.0000000000000289,-0.9999999999988887,-1.0000000000000384,-1.0000000000038232,-0.9999999999578163,-0.9999999999905634,-0.9999999999925584,-0.9999999999996427
