,0
0,-1.0928702649402415
0,-2.196198484662948
0,-1.5772595428821616
0,-2.642723101273195
0,-1.8396058990949042
0,-2.768016205593852
0,-1.7705184721356753
0,-1.757923688627639
0,-2.4357199104888965
0,-2.838713097365318
0,-2.1149466657832416
0,-1.7565371295292838
0,-1.5465373492307344
0,-1.9774168847789912
0,-2.0111445954959444
0,-1.8749093158873216
0,-2.988485677232528
0,-2.238644912910393
0,-2.3483321562144246
0,-2.039741745333335
0,-2.9480069186102504
0,-1.9947469929775727
0,-2.073264062216476
0,-2.575100041977812
0,-1.9591159361450905
0,-1.2973039317952608
0,-1.9848623701465564
0,-2.1305748648034757
0,-2.30910236865564
0,-1.8596939133052182
0,-1.7438065478084068
0,-1.470146966415493
0,-1.9529676309921054
0,-1.9674826454713281
0,-2.372590402981904
0,-1.7127408840925258
0,-1.202975896201403
0,-2.610640205771806
0,-1.942370820915796
0,-2.903564384188531
0,-1.2511809331116923
0,-1.947558754013587
0,-1.9678713786923097
0,-1.7152216825944688
0,-2.0017414481912748
0,-1.754775970467488
0,-2.7577875421080362
0,-1.7509385639472503
0,-2.1227345699362674
0,-2.476126768632181
0,-1.1043559134607082
0,-2.3262763115131384
0,-1.775289828479957
0,-1.4078189266432648
0,-2.1575031831338456
0,-2.2130412181521883
0,-1.539532624626987
0,-1.820545965559502
0,-1.6623463478210072
0,-1.7367261413941104
0,-1.823549087742621
0,-2.174906356285875
0,-2.788445465638508
0,-2.2191580893021023
0,-1.8918877667442717
0,-2.324010848230551
0,-2.013696579540877
0,-2.277595542285678
0,-2.1319170487214323
0,-1.264184746398989
0,-2.0540032492711693
0,-2.142462760056729
0,-2.0980160395943583
0,-1.7786816128930805
0,-2.1996174028695825
0,-2.1854845840579578
0,-1.1537814447862131
0,-1.0816204032429766
0,-2.28556452830771
0,-1.6005933432475579
0,-1.5808276129413108
0,-1.599418290495565
0,-2.258582313427618
0,-1.8246942981590641
0,-1.9687836411914774
0,-2.695172763225182
0,-1.879973519336712
0,-1.9924260882620297
0,-1.238310982356211
0,-2.4074143421892127
0,-2.3172412228370267
0,-1.9821298197051682
0,-1.8186967115565995
0,-3.0071496442310623
0,-2.185326738414404
0,-2.422449266328844
0,-2.4757210694896226
0,-1.080766439038591
0,-2.6762253996150775
0,-1.4624213427901722
0,-1.8775694843668123
0,-2.3830429816926513
0,-1.6179285481471408
0,-2.199479662378784
0,-2.129938394036634
0,-2.2598530380674005
0,-1.9955160929182452
0,-2.589699409151139
0,-2.786335549967907
0,-2.68081559742431
0,-1.3043360361057192
0,-2.1282542167250895
0,-1.8880720967485563
0,-2.00911791628543
0,-1.204171819892583
0,-1.9914313434157713
0,-2.12628467453159
0,-2.0077184060207385
0,-1.8642256648547149
0,-2.449825091145118
0,-1.2824730573716496
0,-1.8542203306910716
0,-1.8382989228113604
0,-1.8423211553269663
0,-2.1573938898345175
0,-1.9473355203053109
0,-1.7307420305107235
0,-1.6649281258387014
0,-2.1415666194436835
0,-2.446656118489937
0,-2.0844075687655983
0,-2.0029565403225096
0,-1.5456350362812319
0,-2.423567893514134
0,-1.710936931212431
0,-1.8124690671536083
0,-2.0838259583599235
0,-1.9551586117466253
0,-2.061215659620808
0,-1.8242129137990117
0,-1.8867176979941984
0,-2.023989536921618
0,-2.691483766940254
0,-2.359933386421023
0,-2.3133824250268886
0,-1.979538547361289
0,-1.130413636745191
0,-1.6200618901034918
0,-2.09250887891648
0,-1.7706673295946895
0,-2.3610836900446848
0,-2.387736345515453
0,-2.0780713251887106
0,-1.9751308090710795
0,-1.9586046253850833
0,-1.8679284169457484
0,-2.1424439807169535
0,-2.5634141646551796
0,-1.836147952179203
0,-2.7391678403971538
0,-1.982157711982755
0,-1.3121636698383081
0,-1.140091822245792
