,0
0,-1.0967145204549855
0,-2.2471720652012004
0,-1.4561812834802017
0,-3.063137576247193
0,-1.8996480871724735
0,-2.9688702790702415
0,-1.820190935877996
0,-2.051967597919522
0,-2.54934297079041
0,-2.786338050759577
0,-2.151256883762864
0,-1.7892120860433411
0,-1.2559119968962766
0,-2.0555978650857387
0,-1.995345056175948
0,-1.9786413479893206
0,-3.01406057453403
0,-1.8004890570862335
0,-2.603207561228917
0,-2.0914828012123983
0,-3.1634264808279142
0,-2.053178387148668
0,-2.2170906667837174
0,-2.4627481615123674
0,-2.0036463241641935
0,-1.1607619642629579
0,-2.040021292788079
0,-2.2841170098585004
0,-2.528475905664565
0,-1.8878890875630332
0,-1.7969714190100203
0,-1.3068377833755618
0,-2.0285048443934923
0,-1.6358656694586629
0,-2.4931758150027163
0,-1.706013108119255
0,-1.1122935641216476
0,-2.3405644414859954
0,-2.024013681117639
0,-2.9268792655987856
0,-1.2480915465197118
0,-1.9748108028146973
0,-1.9481630377228363
0,-1.7630554069890016
0,-1.967560541290414
0,-1.7870684288124654
0,-2.9569513764952724
0,-1.6967129714323328
0,-2.309220410288572
0,-2.382136477584582
0,-1.112000592373237
0,-2.3235039851296966
0,-1.8060123740530434
0,-2.4879417160785837
0,-2.107081915357567
0,-2.63116159003849
0,-1.5796237269130733
0,-1.934668040348782
0,-1.7117206801209346
0,-1.8801189983657567
0,-1.8733219807438297
0,-2.220907054735708
0,-2.7501365599893908
0,-2.406890252912977
0,-2.4398928848639247
0,-2.3563094737476944
0,-2.0680136011123023
0,-2.4360659865936407
0,-2.1379996046266987
0,-2.8723822856549472
0,-1.9954481951269738
0,-2.3859584305275057
0,-2.2036647591052594
0,-1.7977756312631927
0,-2.412856943023089
0,-2.2623657273701276
0,-1.0756455426881695
0,-1.0669992506554553
0,-2.240789241293401
0,-1.6383853401118234
0,-1.5632619695806327
0,-1.598647516862386
0,-2.242847309832
0,-1.8608273278217764
0,-1.327988098027809
0,-2.8795774027828114
0,-1.8750115475225755
0,-2.0402628543091104
0,-1.2192183487474282
0,-2.303514319804994
0,-2.2451017571054144
0,-2.0042634896471734
0,-1.7960099335982604
0,-2.8066340652449657
0,-2.1788253725455204
0,-2.2831345302031996
0,-2.462179632943844
